product_id,product_name,category,style,color,material,neckline,sleeve_type,fit_type,season,price_range,description,keywords,sentiment_score
81105517,Spring-Summer French Minimalist Style White Camisole Dress,Women's Clothing,Camisole Dress,White,Silk/Satin,Square Neck,Sleeveless,Fitted,Spring-Summer,High-End,High-End Sense Slimming Square Neck Waisted Sleeveless Backless Vintage Fitted Sexy Slip Dress,"french,minimalist,white,camisole,dress,women,high-end,slimming,square-neck,waisted,sleeveless,backless,vintage,fitted,sexy,slip-dress,spring,summer",0.8
81105517,Spring-Summer French Minimalist Style White Camisole Dress,Women's Clothing,Camisole Dress,White,Silk/Satin,Square Neck,Sleeveless,Fitted,Spring-Summer,High-End,French minimalist aesthetic with vintage appeal,"french,minimalist,aesthetic,vintage,appeal,elegant,chic",0.9
81105517,Spring-Summer French Minimalist Style White Camisole Dress,Women's Clothing,Camisole Dress,White,Silk/Satin,Square Neck,Sleeveless,Fitted,Spring-Summer,High-End,Slimming and fitted design for flattering silhouette,"slimming,fitted,flattering,silhouette,body-con,figure-hugging",0.7
81105517,Spring-Summer French Minimalist Style White Camisole Dress,Women's Clothing,Camisole Dress,White,Silk/Satin,Square Neck,Sleeveless,Fitted,Spring-Summer,High-End,Backless design for sexy and elegant look,"backless,sexy,elegant,revealing,alluring",0.6
81105517,Spring-Summer French Minimalist Style White Camisole Dress,Women's Clothing,Camisole Dress,White,Silk/Satin,Square Neck,Sleeveless,Fitted,Spring-Summer,High-End,Waisted design for enhanced figure definition,"waisted,figure-definition,cinched,structured",0.8
81105517,Spring-Summer French Minimalist Style White Camisole Dress,Women's Clothing,Camisole Dress,White,Silk/Satin,Square Neck,Sleeveless,Fitted,Spring-Summer,High-End,Perfect for spring and summer occasions,"spring,summer,occasion,seasonal,versatile",0.9
81105517,Spring-Summer French Minimalist Style White Camisole Dress,Women's Clothing,Camisole Dress,White,Silk/Satin,Square Neck,Sleeveless,Fitted,Spring-Summer,High-End,Slip dress style for comfortable wear,"slip-dress,comfortable,lightweight,easy-wear",0.8
81105517,Spring-Summer French Minimalist Style White Camisole Dress,Women's Clothing,Camisole Dress,White,Silk/Satin,Square Neck,Sleeveless,Fitted,Spring-Summer,High-End,High-end sense with premium quality,"high-end,premium,quality,luxury,exclusive",0.9
81105517,Spring-Summer French Minimalist Style White Camisole Dress,Women's Clothing,Camisole Dress,White,Silk/Satin,Square Neck,Sleeveless,Fitted,Spring-Summer,High-End,Vintage-inspired design elements,"vintage,inspired,retro,classic,timeless",0.8
81105517,Spring-Summer French Minimalist Style White Camisole Dress,Women's Clothing,Camisole Dress,White,Silk/Satin,Square Neck,Sleeveless,Fitted,Spring-Summer,High-End,Minimalist style for sophisticated look,"minimalist,sophisticated,clean,simple,elegant",0.9 
